1,Think about what matters to you.
2,Think about what you want to do in therapy.
3,Therapy shouldn't be a luxury item.
4,Therapy is not a dirty word.
5,Seeing a therapist is not a tragedy.
6,Therapy isn't a magic fix.
7,"Mental health services should be a right, not a luxury. "
8,"Sometimes therapy sucks, but it does get better. "
9,"Therapy might feel really weird at first, but it's completely normal!"
10,"Mental health…is not a destination, but a process. It’s about how you drive, not where you’re going."
11,Just because you don’t understand it doesn’t mean it isn’t so.
12,I fight for my health every day in ways most people don’t understand. I’m not lazy. I’m a warrior.
13,Don’t give in to stigma. A diagnosis does not determine who you are or what you can do!
14,Don’t let your struggle become your identity.
15,The strongest people are those who win battles we know nothing about.
16,"What mental health needs is more sunlight, more candor, and more unashamed conversation."
17,"Recovery is not one and done. It is a lifelong journey that takes place one day, one step at a time."
18,"There is hope, even when your brain tells you there isn’t."
19,"Just because no one else can heal or do your inner work for you doesn’t mean you can, should, or need to do it alone."
20,‘Positive vibes only’ isn’t a thing. Humans have a wide range of emotions and that’s OK.
